Dayana Yastremska,Baindl vs Yastremska, Mon 5:00AM,2.5 Aces
Dayana Yastremska,Baindl vs Yastremska, Mon 5:00AM,5.0 Double faults
Dayana Yastremska,Baindl vs Yastremska, Mon 5:00AM,0.5 Sets lost
Dayana Yastremska,Baindl vs Yastremska, Mon 5:00AM,45.35 Fantasy points
Dayana Yastremska,Baindl vs Yastremska, Mon 5:00AM,12.5 Games won
Dayana Yastremska,Baindl vs Yastremska, Mon 5:00AM,11.0 Games lost
Viktoriya Tomova,Tomova vs Korpatsch, Mon 5:00AM,1.0 Aces
Viktoriya Tomova,Tomova vs Korpatsch, Mon 5:00AM,3.0 Double faults
Viktoriya Tomova,Tomova vs Korpatsch, Mon 5:00AM,46.15 Fantasy points
Viktoriya Tomova,Tomova vs Korpatsch, Mon 5:00AM,12.0 Games lost
Daniel Elahi Galan,Galan vs Cecchinato, Mon 5:00AM,5.5 Aces
Daniel Elahi Galan,Galan vs Cecchinato, Mon 5:00AM,1.5 Double faults
Daniel Elahi Galan,Galan vs Cecchinato, Mon 5:00AM,45.65 Fantasy points
Daniel Elahi Galan,Galan vs Cecchinato, Mon 5:00AM,12.5 Games won
Daniel Elahi Galan,Galan vs Cecchinato, Mon 5:00AM,12.0 Games lost
Luca van Assche,Molcan vs van Assche, Mon 5:00AM,2.5 Aces
Luca van Assche,Molcan vs van Assche, Mon 5:00AM,3.0 Double faults
Luca van Assche,Molcan vs van Assche, Mon 5:00AM,43.55 Fantasy points
Luca van Assche,Molcan vs van Assche, Mon 5:00AM,12.0 Games lost
Nao Hibino,Hibino vs Errani, Mon 6:15AM,1.0 Aces
Nao Hibino,Hibino vs Errani, Mon 6:15AM,3.0 Double faults
Nao Hibino,Hibino vs Errani, Mon 6:15AM,43.95 Fantasy points
Nao Hibino,Hibino vs Errani, Mon 6:15AM,12.0 Games lost
Filip Misolic,Misolic vs Andreozzi, Mon 6:20AM,2.5 Aces
Filip Misolic,Misolic vs Andreozzi, Mon 6:20AM,2.0 Double faults
Filip Misolic,Misolic vs Andreozzi, Mon 6:20AM,45.35 Fantasy points
Filip Misolic,Misolic vs Andreozzi, Mon 6:20AM,12.5 Games won
Filip Misolic,Misolic vs Andreozzi, Mon 6:20AM,12.0 Games lost
Juan Pablo Varillas,Varillas vs Ramos-V…, Mon 6:20AM,3.5 Aces
Juan Pablo Varillas,Varillas vs Ramos-V…, Mon 6:20AM,2.0 Double faults
Juan Pablo Varillas,Varillas vs Ramos-V…, Mon 6:20AM,44.25 Fantasy points
Juan Pablo Varillas,Varillas vs Ramos-V…, Mon 6:20AM,12.5 Games won
Juan Pablo Varillas,Varillas vs Ramos-V…, Mon 6:20AM,12.5 Games lost
Xinyu Wang,Wang vs Hruncakova, Mon 6:30AM,2.5 Aces
Xinyu Wang,Wang vs Hruncakova, Mon 6:30AM,4.5 Double faults
Xinyu Wang,Wang vs Hruncakova, Mon 6:30AM,42.05 Fantasy points
Xinyu Wang,Wang vs Hruncakova, Mon 6:30AM,12.5 Games won
Xinyu Wang,Wang vs Hruncakova, Mon 6:30AM,12.0 Games lost
